N, F, F-TM
1, 0.4474495015682214, 0.41865900809907675
2, 0.5849314825806107, 0.5556716703775526
3, 0.685496638238875, 0.6465925543599418
4, 0.7149226986818846, 0.688730923705773
5, 0.7397687625221228, 0.6996280325821623
6, 0.7690996515049792, 0.7236700427489056
7, 0.7940935699227234, 0.7392311114468704
8, 0.8000583319953648, 0.756080006822672
9, 0.8129907656954766, 0.7639354862190029
10, 0.8200289422540656, 0.7739281070442224
11, 0.8226945030138888, 0.7861373298425649
12, 0.8243626329524313, 0.7957133525077074
13, 0.8334278957002395, 0.8015071415378792
14, 0.8353624195097632, 0.8066126301376612
15, 0.838908021917306, 0.8092949483335964
16, 0.8425545836888677, 0.8151440986691296
17, 0.8462576861419702, 0.8170190986691296
18, 0.8535129208099397, 0.8187906604406914
19, 0.8552844825815014, 0.8187906604406914
