n,            precision            ,               recall           ,               F1score
1 , 0.9545454545454545454545454545 , 0.2763157894736842105263157895 , 0.4285714285714285714285714286
2 , 0.9318181818181818181818181818 , 0.5394736842105263157894736842 , 0.6833333333333333333333333333
3 , 0.9183673469387755102040816327 , 0.5921052631578947368421052632 , 0.7199999999999999999999999999
4 , 0.9056603773584905660377358491 , 0.6315789473684210526315789474 , 0.7441860465116279069767441861
5 , 0.8771929824561403508771929825 , 0.6578947368421052631578947368 , 0.7518796992481203007518796996
6 , 0.8524590163934426229508196721 , 0.6842105263157894736842105263 , 0.7591240875912408759124087596
7 , 0.8571428571428571428571428571 , 0.7105263157894736842105263158 , 0.7769784172661870503597122303
8 , 0.8484848484848484848484848485 , 0.7368421052631578947368421053 , 0.7887323943661971830985915491
9 , 0.8169014084507042253521126761 , 0.7631578947368421052631578947 , 0.7891156462585034013605442178
10 , 0.8 , 0.7894736842105263157894736842 , 0.7947019867549668874172185433
11 , 0.7792207792207792207792207792 , 0.7894736842105263157894736842 , 0.7843137254901960784313725494
12 , 0.7594936708860759493670886076 , 0.7894736842105263157894736842 , 0.7741935483870967741935483872
13 , 0.7594936708860759493670886076 , 0.7894736842105263157894736842 , 0.7741935483870967741935483872
14 , 0.75 , 0.7894736842105263157894736842 , 0.7692307692307692307692307691
15 , 0.7439024390243902439024390244 , 0.8026315789473684210526315789 , 0.7721518987341772151898734179
16 , 0.7349397590361445783132530120 , 0.8026315789473684210526315789 , 0.7672955974842767295597484278
17 , 0.7261904761904761904761904762 , 0.8026315789473684210526315789 , 0.7625000000000000000000000000
18 , 0.7261904761904761904761904762 , 0.8026315789473684210526315789 , 0.7625000000000000000000000000
19 , 0.7176470588235294117647058824 , 0.8026315789473684210526315789 , 0.7577639751552795031055900624
20 , 0.7176470588235294117647058824 , 0.8026315789473684210526315789 , 0.7577639751552795031055900624
