N, F_tfidf, tfidf+MD_F
1, 0.7719298245614036, 0.7499999999999999
2, 0.8524590163934428, 0.8135593220338984
3, 0.9230769230769229, 0.8524590163934428
4, 0.9552238805970149, 0.8888888888888888
5, 0.9552238805970149, 0.8888888888888888
6, 0.9552238805970149, 0.8888888888888888
7, 0.9552238805970149, 0.8888888888888888
8, 0.9411764705882353, 0.8888888888888888
9, 0.9411764705882353, 0.90625
10, 0.9411764705882353, 0.90625
11, 0.9565217391304348, 0.90625
12, 0.9565217391304348, 0.90625
13, 0.942857142857143, 0.90625
14, 0.942857142857143, 0.9393939393939394
15, 0.942857142857143, 0.9552238805970149
16, 0.942857142857143, 0.9552238805970149
17, 0.9577464788732394, 0.9552238805970149
18, 0.9315068493150683, 0.9411764705882353
19, 0.9066666666666666, 0.9411764705882353
